PV1READ,Female,ESCS,METASUM,PERFEED,HOMEPOS,ADAPTIVITY,TEACHINT,ICTRES,JOYREAD,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,SWBP,MASTGOAL,BELONG,SCREADCOMP,SCREADDIFF,PISADIFF
592.562,Female,-0.9647,-0.57,-0.3253,-0.9882,0.1915,-0.6413,-0.3419,-0.1542,-0.6583,-0.2661,-0.6545,-0.687,0.1869,-0.8444,-0.3184,0.1222,-0.0697,0.2705
375.873,Female,-0.1801,-2.192317714,-0.3253,0.571,-0.5786,-1.0615,0.333,-0.9609,-0.511182138,0.78754926,0.785067466,1.522628857,-2.35251965,-0.155579166,-1.405100794,-0.4419,0.409,0.2705
536.917,Male,1.4033,-0.57,-0.6555,0.8729,-0.2644,-0.8262,1.2943,-0.5262,1.0844,1.1811,-0.1015,0.1097,0.1869,0.5761,-0.9111,-0.4419,0.3787,-0.7816
496.362,Female,-0.0404,0.21,2.0165,0.3864,-0.2644,0.6797,0.9144,1.0781,0.0281,-0.2047,0.5693,1.4083,-1.1176,-0.5467,-0.6693,0.1919,-0.1817,0.8769
512.812,Male,0.2126,0.59,-0.9181,-0.6107,0.1941,0.9888,-0.3371,-1.793,1.0844,1.1811,0.5693,-0.9295,1.2386,0.5761,0.9423,0.1222,-0.524,0.2705
410.733,Male,-0.9431,-0.95,0.7743,-1.099,-0.1687,0.1744,0.0895,-1.793,1.0844,-0.4112,-0.1015,-0.687,-1.1176,0.5761,-0.3184,-0.4419,-0.0697,0.2705
309.087,Male,-0.5402,-1.34,-1.6391,-0.871,-2.2652,-2.2177,-0.3629,-0.0506,-0.6583,-0.0591,-1.7067,-0.729,-3.0666,1.8524,-0.594,-0.952660662,-0.215,0.9672
475.488,Male,-0.6841,0.98,0.5121,0.1749,-0.2644,0.1744,0.6901,1.7513,-0.6583,-0.2661,-0.772,0.5949,-1.1176,-0.094,-0.7362,1.8839,-1.126,-1.272
375.611,Male,0.533,1.36,0.5121,0.704,0.1067,0.9888,-0.397,-0.1707,1.0844,0.3709,-0.1015,-1.4869,1.2386,0.0337,-0.3184,0.1222,-0.0697,0.2705
554.656,Male,0.68,-0.18,-1.256,0.2366,-1.4537,0.6797,0.6901,-0.2704,-0.6583,0.3709,-0.1015,-0.687,0.1869,0.0337,2.7249,1.8839,-0.0362,0.2705
267.027,Male,-0.0403,-0.968882475,1.1225,-1.4395,0.4572,0.1744,-1.641,0.7883,-0.6583,0.1956,0.652270556,-0.7985,-0.499138268,0.750300062,-0.6659,-0.639772189,0.722001551,3.0064
