"Gender","ESCS","METASUM","HOMEPOS","ICTRES","JOYREAD","PV1READ"
1,1.2746,-2.0098,1.9131,NA,-1.1109,500.45
1,0.7109,-1.1713,0.4835,-0.3586,1.6882,560.83
1,1.1122,0.5058,0.2291,1.2041,0.6875,463.75
1,0.9819,0.0865,0.7021,1.2041,1.4768,597.13
1,1.9184,-1.1713,1.2196,1.2041,0.6743,546.05
1,1.3872,NA,1.1945,NA,1.0227,508.24
1,1.0604,0.925,0.0976,1.2041,0.9601,677.6
1,0.7197,-0.752,NA,NA,NA,405.2
1,-0.0248,-0.3327,0.2843,-0.3586,-0.4746,499.5
1,0.6588,0.925,0.2843,0.3453,1.118,637.33
1,1.3971,-2.0098,1.2196,0.3453,0.417,467.8
1,0.5784,-0.3327,0.9439,1.2041,-0.9169,525.4
2,0.4373,-0.752,-0.0765,0.3453,-0.8022,556.89
2,-0.5534,-2.0098,0.4835,1.2041,3.495,431.75
2,1.5528,0.925,1.5475,1.2041,0.5421,614.13
2,0.4951,0.5058,-0.3986,0.3453,-1.1624,519.69
2,0.922,0.0865,1.2196,0.3453,-0.5824,494.52
2,1.6116,-1.1713,1.9644,1.2041,-0.1533,512.8
2,-0.0565,0.5058,0.9439,0.3453,-1.6151,523.3
2,1.6004,NA,2.1298,1.1674,-1.6937,396.24
2,-0.8131,-0.752,-0.2419,-0.3586,-1.0365,448.99
2,0.1825,-2.0098,0.9439,0.3453,-1.1624,526.91
2,-0.2149,NA,-0.3986,1.2041,-0.2604,476.32
2,-0.2941,0.5058,-0.3986,0.3453,-0.3675,581.9
2,0.6499,NA,-0.0765,0.3453,-0.2604,486.34
2,0.2906,-1.1713,0.2843,-0.3586,-0.8022,440.57
2,0.7109,0.5058,0.4835,0.3453,-0.4746,549.28
2,0.5429,-1.5905,-0.0765,0.3453,-1.4461,374.11
2,0.6651,-0.3327,0.7021,1.2041,-1.2973,434.24
2,0.7901,-2.0098,0.4835,1.2041,-1.2973,446.18
1,0.9984,0.925,1.5475,1.2041,-0.3675,495.85
1,1.3971,0.925,1.2196,1.2041,3.495,551.85
1,-0.1564,0.925,-0.5495,0.3453,-0.5824,465.66
1,2.028,-1.1713,1.5475,1.2041,2.2383,587.04
1,1.1931,0.5058,0.7021,1.2041,-0.4746,498.07
1,1.0277,0.5058,0.4835,0.3453,2.2383,650.83
1,0.6844,0.0865,1.5475,1.2041,2.6632,699.37
1,0.2385,0.5058,0.4835,1.2041,-0.5824,527.3
1,1.4018,0.5058,1.9644,1.2041,-2.4469,513.96
2,0.315,1.3443,0.4835,0.3453,-0.0441,598.74
2,1.5293,-1.1713,0.4835,1.2041,-1.1624,602.91
2,1.5528,0.0865,1.5475,1.2041,1.118,503.98
2,0.3511,0.5058,0.7021,-0.3586,0.8127,573.65
2,1.3179,0.925,1.2196,1.2041,0.2959,678.43
2,0.9228,0.0865,0.2843,0.3453,-0.5824,497.01
2,0.4532,0.0865,0.0976,-0.3586,1.9344,474.8
2,0.5569,-0.752,-0.2419,0.3453,-0.5824,537.01
1,0.7605,0.925,0.9439,-0.3586,-0.2604,517.61
1,0.9812,0.925,0.0976,0.3453,0.1798,461.53
1,0.1128,0.5058,0.0976,0.3453,1.118,555.27
1,0.2684,0.5058,0.0976,-1.1171,0.8127,589.66
1,0.3754,1.3443,0.0976,0.3453,0.9601,671.96
1,0.7707,1.3443,0.7021,0.3453,0.0665,524.84
1,-0.0087,-0.3327,-0.0765,-0.3586,1.289,513
1,0.0688,0.5058,-0.5495,0.3453,-0.8022,546.77
2,0.9548,0.5058,0.0976,0.3453,0.5421,521.06
1,1.054,0.0865,1.2196,0.3453,1.118,670.3
1,1.4499,0.5058,1.2196,1.2041,1.9344,666.24
1,0.1316,-1.1713,0.4835,0.3453,-1.0365,394.24
1,1.054,1.3443,1.2196,-0.3586,1.118,597.45
1,0.7637,-1.1713,0.4835,0.3453,-0.4746,530.48
1,0.2684,1.3443,0.0976,0.3453,0.5421,500.69
1,1.5528,-0.3327,1.5475,1.2041,1.4768,531.99
1,0.0728,0.5058,-0.3986,-0.3586,-0.0441,401.71
1,0.4289,0.925,0.7021,0.3453,-0.3675,593.08
2,0.342,0.5058,0.2843,0.3453,-1.4461,322.88
2,1.2987,-0.752,0.7021,1.2041,-1.4461,376.19
2,0.0349,0.5058,-0.6956,-1.1171,-0.9169,536.93
2,-0.6643,-2.0098,-0.802,-1.8035,-1.2973,424.22
2,0.7109,1.3443,0.4835,0.3453,1.118,597.78
2,0.7605,0.5058,0.9439,1.2041,-1.8161,563.06
2,0.6799,0.5058,-0.3986,-1.1171,-0.0441,589.68
2,0.6665,-0.3327,0.7021,1.2041,-0.3675,584.39
2,0.7605,0.925,0.9439,1.2041,0.0665,726.37
2,1.7172,0.5058,1.9644,1.2041,-0.2604,560.58
2,-0.1451,0.925,-0.5495,-0.3586,0.1798,491.32
2,0.0567,-1.1713,-0.2419,-0.3586,-0.6909,356.23
2,1.7172,0.0865,1.9644,1.2041,0.6743,618.7
2,1.0875,0.5058,0.7021,0.3453,-0.2604,560.34
2,1.2885,0.5058,0.9439,-1.1171,0.6743,654.94
2,0.1364,0.5058,0.0976,0.3453,-1.4461,500.94
2,-0.2586,NA,-0.6366,-0.4084,-1.3752,440.41
2,1.3152,0.5058,1.5475,1.2041,2.2383,673.21
1,1.8987,-1.1713,1.2196,1.2041,0.8127,501.88
1,-1.1552,-0.752,-2.159,-2.7224,3.495,574.89
1,0.008,-2.0098,-0.8378,0.3453,-1.6151,380.18
1,-0.9812,NA,-0.5495,0.3453,-0.0393,521.82
1,1.1139,0.5058,0.7021,-0.3586,1.289,554.23
2,-0.1268,-2.0098,0.7021,0.3453,0.9601,304.69
1,-0.4903,0.5058,-0.6956,-0.3586,1.118,495.53
1,-1.1368,0.925,-1.3978,-1.8035,3.495,592.84
1,0.5268,-1.1713,0.2843,0.3453,-0.9169,577.43
1,0.9748,1.3443,1.2196,-0.3586,0.9601,596.34
2,0.2262,0.925,-0.0765,-1.1171,0.1798,585.67
2,0.5532,NA,0.2843,0.3453,0.0665,512.24
2,0.9492,0.5058,0.2843,0.3453,-0.0441,568.36
2,-0.267,-2.0098,-1.3978,-0.3586,-0.2604,514.08
2,1.222,-0.752,1.445,1.1753,-0.8022,259.15
2,1.6908,0.925,1.9644,1.2041,0.9601,667.68
